Name,Geography_Type,Year,Resident_Population,Percent_Pop_Change,Pop_Density,Pop_Density_Rank,Num_Reps,Change_Num_Reps,Apportionment_Per_Rep
Alabama,State,1910,2138093,16.9,42.2,25,10,1,213809
Alaska,State,1910,64356,1.2,0.1,52,,,
Arizona,State,1910,204354,66.2,1.8,49,,,
Arkansas,State,1910,1574449,20,30.3,30,7,0,224921
California,State,1910,2377549,60.1,15.3,38,11,3,216051
Colorado,State,1910,799024,48,7.7,42,4,1,199643
Connecticut,State,1910,1114756,22.7,230.2,6,5,0,222951
Delaware,State,1910,202322,9.5,103.8,11,1,0,202322
District of Columbia,State,1910,331069,18.8,5423.10,1,,,
Florida,State,1910,752619,42.4,14,40,4,1,188155
Georgia,State,1910,2609121,17.7,45.4,23,12,1,217427
Hawaii,State,1910,191909,24.6,29.9,31,,,
Idaho,State,1910,325594,101.3,3.9,46,2,1,161720
Illinois,State,1910,5638591,16.9,101.6,12,27,2,208837
Indiana,State,1910,2700876,7.3,75.4,13,13,0,207760
Iowa,State,1910,2224771,-0.3,39.8,26,11,0,202252
Kansas,State,1910,1690949,15,20.7,35,8,0,211369
Kentucky,State,1910,2289905,6.6,58,14,11,0,208173
Louisiana,State,1910,1656388,19.9,38.3,29,8,1,207049
Maine,State,1910,742371,6.9,24.1,33,4,0,185593
Maryland,State,1910,1295346,9,133.4,9,6,0,215891
Massachusetts,State,1910,3366416,20,431.6,3,16,2,210401
Michigan,State,1910,2810173,16.1,49.7,19,13,1,216167
Minnesota,State,1910,2075708,18.5,26.1,32,10,1,207438
Mississippi,State,1910,1797114,15.8,38.3,28,8,0,224639
Missouri,State,1910,3293335,6,47.9,21,16,0,205833
Montana,State,1910,376053,54.5,2.6,48,2,1,183169
Nebraska,State,1910,1192214,11.8,15.5,37,6,0,198702
Nevada,State,1910,81875,93.4,0.7,51,1,0,80293
New Hampshire,State,1910,430572,4.6,48.1,20,2,0,215286
New Jersey,State,1910,2537167,34.7,345,4,12,2,211431
New Mexico,State,1910,327301,67.6,2.7,47,,,
New York,State,1910,9113614,25.4,193.4,7,43,6,211836
North Carolina,State,1910,2206287,16.5,45.4,22,10,0,220629
North Dakota,State,1910,577056,80.8,8.4,41,3,1,191468
Ohio,State,1910,4767121,14.7,116.7,10,22,1,216687
Oklahoma,State,1910,1657155,109.7,24.2,33,8,8,207144
